design_id,gate_pass,endurance_pass,termination,failure_reasons,endurance_termination,drag_case,empty_mass_kg,initial_fuel_kg,initial_mass_kg,wing_area_m2,altitude_m,gamma_deg,rated_thrust_n,initial_installed_thrust_to_weight,wing_loading_n_m2,elapsed_s,final_mach,time_to_mach_1_s,fuel_at_mach_1_kg,final_fuel_kg,min_excess_thrust_n,min_acceleration_force_n,max_cl,max_q_pa,review_flags,reached_mach_1,mass_within_limit,fuel_nonnegative,never_descends,positive_excess_thrust,positive_acceleration,cl_within_limit,q_within_limit,drag_sensitivity
D0054,True,True,target_reached,,hold_complete,optimistic,21.0,1.0,22.0,0.12,6000.0,0,450.0,1.003555526015461,1797.8858333333333,12.835918521326303,1.0,12.835918521326303,0.8671155904969394,0.8141596975738754,56.00781256369669,56.00781256369669,0.08499238774443954,33052.33196919002,uncalibrated_drag_and_engine;trim_stability_control_unverified;engine_mass_thrust_coupling_unverified;flutter_analysis_required,True,True,True,True,True,True,True,True,optimistic_only
D0056,True,True,target_reached,,hold_complete,optimistic,18.0,3.0,21.0,0.12,3000.0,0,450.0,1.3367369290892601,1716.1637500000002,11.963050116412397,1.0,11.963050116412397,2.8367361035482443,2.7559167082971996,45.296273779830585,45.296273779830585,0.054630064970574675,49084.80084765296,uncalibrated_drag_and_engine;trim_stability_control_unverified;engine_mass_thrust_coupling_unverified;flutter_analysis_required,True,True,True,True,True,True,True,True,optimistic_only
D0057,True,True,target_reached,,hold_complete,optimistic,18.0,3.0,21.0,0.12,6000.0,0,450.0,1.0513438843971494,1716.1637500000002,12.231140791820671,1.0,12.231140791820671,2.8733760142102898,2.821083840164744,56.15350523545641,56.15350523545641,0.08112909739241957,33052.33196919002,uncalibrated_drag_and_engine;trim_stability_control_unverified;engine_mass_thrust_coupling_unverified;flutter_analysis_required,True,True,True,True,True,True,True,True,optimistic_only
D0059,True,True,target_reached,,hold_complete,optimistic,21.0,3.0,24.0,0.12,3000.0,0,450.0,1.1696448129531025,1961.3300000000002,13.72337611744328,1.0,13.72337611744328,2.812715152710798,2.7284865320315994,44.98935272914616,44.98935272914616,0.062434359966371054,49084.80084765296,uncalibrated_drag_and_engine;trim_stability_control_unverified;engine_mass_thrust_coupling_unverified;flutter_analysis_required,True,True,True,True,True,True,True,True,optimistic_only
D0060,True,True,target_reached,,hold_complete,optimistic,21.0,3.0,24.0,0.12,6000.0,0,450.0,0.9199258988475059,1961.3300000000002,14.05526265458069,1.0,14.05526265458069,2.8544936606126763,2.8001901839636414,55.6961191616125,55.6961191616125,0.0927189684484795,33052.33196919002,uncalibrated_drag_and_engine;trim_stability_control_unverified;engine_mass_thrust_coupling_unverified;flutter_analysis_required,True,True,True,True,True,True,True,True,optimistic_only
D0062,True,True,target_reached,,hold_complete,optimistic,18.0,1.0,19.0,0.12,3000.0,0,600.0,1.969928106026278,1552.7195833333333,5.822504950099395,1.0,5.822504950099395,0.8937923588006793,0.8239644960374383,131.11946603262822,131.11946603262822,0.04942720164004375,49084.80084765296,uncalibrated_drag_and_engine;trim_stability_control_unverified;engine_mass_thrust_coupling_unverified;flutter_analysis_required,True,True,True,True,True,True,True,True,optimistic_only
D0063,True,True,target_reached,,hold_complete,optimistic,18.0,1.0,19.0,0.12,6000.0,0,600.0,1.5493488822694834,1552.7195833333333,6.566019160046931,1.0,6.566019160046931,0.9092251666851785,0.861413881887359,123.78126336646778,123.78126336646778,0.0734025166883796,33052.33196919002,uncalibrated_drag_and_engine;trim_stability_control_unverified;engine_mass_thrust_coupling_unverified;flutter_analysis_required,True,True,True,True,True,True,True,True,baseline_pass_sensitive
D0063,True,True,target_reached,,hold_complete,baseline,18.0,1.0,19.0,0.12,6000.0,0,600.0,1.5493488822694834,1552.7195833333333,11.825202078295508,1.0,11.825202078295508,0.8372334690866547,0.7457061468747447,31.93203682299071,31.93203682299071,0.0734025166883796,33052.33196919002,uncalibrated_drag_and_engine;trim_stability_control_unverified;engine_mass_thrust_coupling_unverified;flutter_analysis_required,True,True,True,True,True,True,True,True,baseline_pass_sensitive
D0065,True,True,target_reached,,hold_complete,optimistic,21.0,1.0,22.0,0.12,3000.0,0,600.0,1.7013015461136038,1797.8858333333333,6.752983496750846,1.0,6.752983496750846,0.8768199096286081,0.8055252066645028,130.83854440308014,130.83854440308014,0.05723149663584013,49084.80084765296,uncalibrated_drag_and_engine;trim_stability_control_unverified;engine_mass_thrust_coupling_unverified;flutter_analysis_required,True,True,True,True,True,True,True,True,optimistic_only
D0066,True,True,target_reached,,hold_complete,optimistic,21.0,1.0,22.0,0.12,6000.0,0,600.0,1.338074034687281,1797.8858333333333,7.624402500218457,1.0,7.624402500218457,0.8945933292624577,0.8455985503778455,123.36340960855219,123.36340960855219,0.08499238774443954,33052.33196919002,uncalibrated_drag_and_engine;trim_stability_control_unverified;engine_mass_thrust_coupling_unverified;flutter_analysis_required,True,True,True,True,True,True,True,True,baseline_pass_sensitive
