case_id,design_id,drag_area_model,total_installation_loss_pct,installed_factor,fixed_body_fraction,wing_loading_kg_m2,full_gate_entry_min_excess_n,full_gate_dry_bound_min_excess_n,mach1_entry_cd,mach1_entry_drag_area_m2,mach1_thrust_n,level_hold_attempted,gate_pass,endurance_pass,termination,failure_reasons,endurance_termination,drag_case,empty_mass_kg,initial_fuel_kg,initial_mass_kg,wing_area_m2,altitude_m,gamma_deg,rated_thrust_n,initial_installed_thrust_to_weight,wing_loading_n_m2,elapsed_s,final_mach,time_to_mach_1_s,fuel_at_mach_1_kg,final_fuel_kg,min_excess_thrust_n,min_acceleration_force_n,max_cl,max_q_pa,review_flags,reached_mach_1,mass_within_limit,fuel_nonnegative,never_descends,positive_excess_thrust,positive_acceleration,cl_within_limit,q_within_limit
D0030_optimistic_original_wing_scaled_loss25,D0030,original_wing_scaled,25,0.75,0.0,275.0,137.72397835539368,137.94522939645992,0.03782494697217552,0.0030259957577740415,237.74019467870204,True,True,True,target_reached,,hold_complete,optimistic,21.0,1.0,22.0,0.08,6000,0.0,600,1.180653560018189,2696.8287499999997,7.707106399408849,1.0,7.707106399408849,0.8933709595199814,0.8537736243276822,137.7480602861819,137.7480602861819,0.1274885816166593,33052.33196919002,uncalibrated_drag_and_engine;trim_stability_control_unverified;engine_mass_thrust_coupling_unverified;flutter_analysis_required,True,True,True,True,True,True,True,True
D0030_optimistic_fixed_body_50pct_loss25,D0030,fixed_body_50pct,25,0.75,0.5,275.0,115.593445348194,115.8146963892602,0.0461944521207944,0.003695556169663552,237.74019467870204,True,True,True,target_reached,,hold_complete,optimistic,21.0,1.0,22.0,0.08,6000,0.0,600,1.180653560018189,2696.8287499999997,8.406837571504777,1.0,8.406837571504777,0.8837525353715234,0.8362297427521034,115.61969382547582,115.61969382547582,0.1274885816166593,33052.33196919002,uncalibrated_drag_and_engine;trim_stability_control_unverified;engine_mass_thrust_coupling_unverified;flutter_analysis_required,True,True,True,True,True,True,True,True
D0030_baseline_original_wing_scaled_loss25,D0030,original_wing_scaled,25,0.75,0.0,275.0,76.02052752083185,76.24177856189809,0.061160460368053,0.00489283682944424,237.74019467870204,True,True,True,target_reached,,hold_complete,baseline,21.0,1.0,22.0,0.08,6000,0.0,600,1.180653560018189,2696.8287499999997,10.349897588454846,1.0,10.349897588454846,0.8570860080421729,0.7940447755155893,76.05277764493377,76.05277764493377,0.1274885816166593,33052.33196919002,uncalibrated_drag_and_engine;trim_stability_control_unverified;engine_mass_thrust_coupling_unverified;flutter_analysis_required,True,True,True,True,True,True,True,True
D0030_baseline_fixed_body_50pct_loss25,D0030,fixed_body_50pct,25,0.75,0.5,275.0,38.812445926008735,39.033696967075,0.07523211559555211,0.006018569247644169,237.74019467870204,True,True,True,target_reached,,hold_complete,baseline,21.0,1.0,22.0,0.08,6000,0.0,600,1.180653560018189,2696.8287499999997,13.765772941996042,1.0,13.765772941996042,0.8103289375904409,0.7240879626625897,38.855201669028276,38.855201669028276,0.1274885816166593,33052.33196919002,uncalibrated_drag_and_engine;trim_stability_control_unverified;engine_mass_thrust_coupling_unverified;flutter_analysis_required,True,True,True,True,True,True,True,True
D0030_pessimistic_original_wing_scaled_loss25,D0030,original_wing_scaled,25,0.75,0.0,275.0,-12.579772785129848,-12.358521744063637,0.09466804327799379,0.007573443462239504,237.74019467870204,False,False,False,fuel_exhausted,fuel_exhausted;reached_mach_1,gate_failed,pessimistic,21.0,1.0,22.0,0.08,6000,0.0,600,1.180653560018189,2696.8287499999997,73.22538786659995,0.9854337757800449,,,1.1275702593849246e-17,0.029474885540764717,0.029474885540764717,0.1274885816166593,32096.449487113354,uncalibrated_drag_and_engine;trim_stability_control_unverified;engine_mass_thrust_coupling_unverified;flutter_analysis_required,False,True,True,True,True,True,True,True
D0030_pessimistic_fixed_body_50pct_loss25,D0030,fixed_body_50pct,25,0.75,0.5,275.0,-71.47351062842063,-71.25225958735439,0.11694095653952591,0.009355276523162074,237.74019467870204,False,False,False,fuel_exhausted,fuel_exhausted;reached_mach_1,gate_failed,pessimistic,21.0,1.0,22.0,0.08,6000,0.0,600,1.180653560018189,2696.8287499999997,72.61410142715152,0.9404692916019896,,,7.676151381197371e-17,0.01686322285175379,0.01686322285175379,0.1274885816166593,29234.20882906397,uncalibrated_drag_and_engine;trim_stability_control_unverified;engine_mass_thrust_coupling_unverified;flutter_analysis_required,False,True,True,True,True,True,True,True
D0033_optimistic_original_wing_scaled_loss15,D0033,original_wing_scaled,15,0.85,0.0,262.5,169.64392202028688,170.24593066690892,0.037741272452147534,0.003019301796171803,269.438887302529,True,True,True,target_reached,,hold_complete,optimistic,18.0,3.0,21.0,0.08,6000,0.0,600,1.4017918458628658,2574.245625,6.205770821343731,1.0,6.205770821343731,2.914122283936226,2.879723606633233,169.6624427344505,169.6624427344505,0.12169364608862934,33052.33196919002,uncalibrated_drag_and_engine;trim_stability_control_unverified;engine_mass_thrust_coupling_unverified;flutter_analysis_required,True,True,True,True,True,True,True,True
D0033_optimistic_fixed_body_50pct_loss15,D0033,fixed_body_50pct,15,0.85,0.5,262.5,147.51338901308716,148.11539765970923,0.046110777600766414,0.003688862208061313,269.438887302529,True,True,True,target_reached,,hold_complete,optimistic,18.0,3.0,21.0,0.08,6000,0.0,600,1.4017918458628658,2574.245625,6.662316600357521,1.0,6.662316600357521,2.9078434594698144,2.86669872790809,147.53326086507258,147.53326086507258,0.12169364608862934,33052.33196919002,uncalibrated_drag_and_engine;trim_stability_control_unverified;engine_mass_thrust_coupling_unverified;flutter_analysis_required,True,True,True,True,True,True,True,True
D0033_baseline_original_wing_scaled_loss15,D0033,original_wing_scaled,15,0.85,0.0,262.5,107.94047118572504,108.54247983234708,0.061076785848025006,0.004886142867842001,269.438887302529,True,True,True,target_reached,,hold_complete,baseline,18.0,3.0,21.0,0.08,6000,0.0,600,1.4017918458628658,2574.245625,7.827199104684212,1.0,7.827199104684212,2.8918437016895404,2.8383341821666987,107.9637841853548,107.9637841853548,0.12169364608862934,33052.33196919002,uncalibrated_drag_and_engine;trim_stability_control_unverified;engine_mass_thrust_coupling_unverified;flutter_analysis_required,True,True,True,True,True,True,True,True
D0033_baseline_fixed_body_50pct_loss15,D0033,fixed_body_50pct,15,0.85,0.5,262.5,70.73238959090196,71.334398237524,0.07514844107552411,0.006011875286041929,269.438887302529,True,True,True,target_reached,,hold_complete,baseline,18.0,3.0,21.0,0.08,6000,0.0,600,1.4017918458628658,2574.245625,9.491272788022853,1.0,9.491272788022853,2.8690289924199512,2.8018558004078393,70.76060490731916,70.76060490731916,0.12169364608862934,33052.33196919002,uncalibrated_drag_and_engine;trim_stability_control_unverified;engine_mass_thrust_coupling_unverified;flutter_analysis_required,True,True,True,True,True,True,True,True
